,City,cityID,clusterID,Typology,Country,Car_Modeshare_(%),Public_Transit_Modeshare_(%),Bicycle_Modeshare_(%),Walking_Modeshare_(%),Gasoline_Pump_Price_(USD/liter),Road_Deaths_Rate_(per_1000),Subway_Length_(km),Subway_Length_Density_(per_km),Subway_Stations_per_Hundred_Thousand,Subway_Ridership_per_Capita,Subway_Age_(years),BRT_Length_(km),BRT_System_Length_Density_(per_km),BRT_Stations_per_Hundred_Thousand_Persons,BRT_Fleet_per_Hundred_Thousand_Persons,BRT_Annual_Ridership_per_Capita,BRT_Age_(years),Bikeshare_Stations,Bikeshare_Stations_per_Hundred_Thousand_Persons,Bikeshare_Number_of_Bikes,Bikeshare_Bicycles_per_Hundred_Thousand_Persons,Bikeshare_Age_(years),Congestion_(%),Congestion_AM_Peak_(%),Congestion_PM_Peak_(%),Traffic_Index,Travel_Time_Index,Inefficiency_Index,Population,Land_Area_(sq._km),Population_Density_(per_sq._km),Population_Change_1990_–_2000,Population_Change_2000_–_2010,Population_Change_2010_–_2020,Population_Change_2020_–_2025,Urbanization_Rate_2015_(%),Urbanization_Rate_Change_2015_–_2025_(pp),GDP_per_Capita_(USD),Unemployment_Rate_(%),Cost_of_Living_Index,Rent_Index,Grocery_Index,Restaurant_Price_Index,Local_Purchasing_Power_Index,Gini_Coefficient,Poverty_Rate_(%),Life_Expectancy_(years),Safety_Index,Internet_Penetration,Digital_Penetration,Innovation_Index,Smartphone_Penetration_(%),CO2_Emissions_per_Capita_(metric_tonnes),Pollution_Index_,Street_length_total_(m),Street_Length_Density_(m/sq._km),Street_Length_Average_(m),Intersection_Count,Intersection_Density_(per_sq._km),Degree_Average,Streets_per_Node,Circuity,Self-Loop_Proportion,Highway_Proportion,Metro_Propensity_Factor,BRT_Propensity_Factor,BikeShare_Propensity_Factor,Development_Factor,Sustainability_Factor,Population_Factor,Congestion_Factor,Sprawl_Factor,Network_Density_Factor,Latitude,Longitude,Continent
284,Baltimore(MD),285,7,Auto Sprawl,United States,85.0,6.1,0.3,2.6,0.66,8.5,24.9,0.013408723999999999,0.615384615,6.417582417999999,34,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.197802198,0.0,0.0,2.0,19.0,33.0,46.0,148.97,36.9,150.22,2275000,1857,1200,233673,332204,399059,195708,81.6,1.7,58789.0,7.2,77.33,48.58,76.48,78.28,150.69,0.44299999999999995,22.9,78.8,31.19,81.0,0.78,45.0,72.0,14.3,26.489684215674423,7468900.982999999,7604832752.0,148.0133367,28660.0,1018.199702,5.021972378,2.8699064030000003,1.0677361,0.00790954,0.041018041,0.1608481108,0.1768672965,0.36063717799999995,0.7962638195,0.3559643803,0.08195562349999999,0.1800854268,0.7221625923,0.4251872575,39.2908816,-76.610759,North America
9,Melbourne,10,8,Auto Innovative,Australia,80.0,14.0,2.0,4.0,1.11,5.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,1.264222503,600.0,15.17067004,2.0,33.0,55.0,58.0,143.12,35.57,138.17,3955000,2543,1500,316060,462816,715525,350883,89.4,1.2,39358.0,5.5,79.04,44.3,72.93,76.07,139.62,0.46308547901806574,16.74591641317642,82.0,60.23,86.9,0.74,50.0,77.0,10.2,26.77,8636838.53,8653670487.0,107.5035914,48571.0,1001.9488560000001,4.948412698,2.8763048760000003,1.036985249,0.0016255229999999998,0.014488998999999999,0.0603867839,0.1683348531,0.3636753686,0.7861742392000001,0.3978941712,0.08226741809999999,0.333172875,0.5393552118,0.5589103703,-37.814217600000006,144.9631608,Oceania
185,Niamey,186,1,Congested Emerging,Niger,13.109683345159226,9.0,2.0,60.0,1.02,26.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1435000,130,11100,248392,541978,960996,741379,18.7,3.5,427.4,,48.990605409418386,27.9039597006662,45.41650697010026,33.856207684354324,30.227248368627684,0.4558177357799522,18.6,61.8,50.274073511044655,2.4,0.04,25.930025317822903,19.824655516052403,0.106860921,91.94087519498962,2134329.2,3496994771.0,97.86011919,13033.0,1638.45145,6.161297392000001,3.187449777,1.019423308,9.49e-05,0.0,0.0362202508,0.010914558799999998,0.3431610039,0.0,0.2736455259,0.2483983023,0.6554640043,0.2756052615,0.4103117074,13.524834,2.109823,Africa
327,Hanoi,328,12,MetroBike Emerging,Vietnam,8.0,10.0,2.0,25.684512641406194,0.9,24.5,0.0,0.0,0.0,0.0,0,14.5,0.023791677461753244,0.14300000000000002,2.0151756544255566,0.149,1.0,0.0,0.0,0.0,0.0,0.0,42.18022489902789,65.53748835113788,75.32153336675286,160.6,40.78,189.18,7445000,868,8600,520495,1149423,1391900,608994,33.6,6.3,3425.0,6.84,41.73,17.15,37.25,22.72,23.47,0.34,5.4,76.0,54.64,50.1,0.31,35.0,35.0,1.700368284,89.66,8079366.816000001,1156633569.0,300.3705412,15881.0,143.1589375,5.205794631,2.870472944,1.097533266,0.0009207730000000001,0.022938148,0.0780280028,0.0845106353,0.3588676925,0.1576759725,0.5090572885,0.2925636585,0.6246225470000001,0.6667099834,0.2391131189,21.029449800000002,105.85444409999998,Asia
66,Urumqi,67,12,MetroBike Emerging,China,21.7,54.7,28.485943217235622,24.87659088091289,1.16,18.8,0.0,0.0,0.0,0.0,0,66.0,0.134146341,2.53776435,9.123867069,34.44108761,7.0,0.0,0.0,0.0,0.0,0.0,40.936113285841735,63.37978061429012,74.27810979352051,,,,3310000,492,6700,556511,1249115,1610288,491541,55.6,9.8,12189.0,3.4,39.978438063375094,16.26983476619611,37.40931606015277,24.192616061830464,50.75911028638663,0.32,1.2525,76.1,64.69,50.1,0.43,35.92696692910035,58.0,7.550916485,90.72341573926494,8891135.865,216952973.8,546.9448736,9567.0,24.40104134,4.736408567,2.680313015,1.064156975,0.00034782599999999997,0.060127854,0.10333432099999999,0.4472613519,0.3925514084,0.2872347043,0.8014635634999999,0.3229604384,0.5860188047,0.7918220423000001,0.0756169035,43.419754,87.319461,Asia
296,Milwaukee(WI),297,7,Auto Sprawl,United States,88.6,3.6,0.5,2.7,0.64,9.8,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,1.9787985869999998,200.0,14.13427562,4.0,13.0,24.0,32.0,162.77731791614696,34.90992083990305,176.41416642078218,1415000,1414,1000,82748,176893,261385,130360,81.6,1.7,56697.0,7.3,72.99,33.05,71.23,74.87,123.45,0.43,26.8,80.0,35.6,79.8,0.78,42.0,72.0,15.1,41.81504945678236,5061233.232,9799272238.0,139.6202271,20332.0,1936.1431870000001,5.5795459670000005,3.2801372030000002,1.035583156,0.0031870320000000002,0.02288307,0.0277873421,0.1667408345,0.39086192560000005,0.7300539272,0.32446722170000003,0.0441476341,0.098736216,0.6809105529999999,0.5828463687,43.0349931,-87.92249699999999,North America
89,Paris,90,9,MassTransit Heavyweight,France,12.0,33.0,3.0,47.0,1.84,2.8,214.0,0.07521968400000001,2.778288868,140.3863845,117,41.0,0.014411248,0.49678012899999996,0.653173873,2.470101196,25.0,1229.0,11.30634775,14500.0,133.3946642,11.0,38.0,68.0,66.0,150.15,38.73,117.34,10870000,2845,3700,408940,777107,1164656,481828,79.5,2.2,71671.0,8.9,83.82,45.54,77.1,84.29,97.36,0.389954500030531,13.348564552790673,83.0,47.97,83.3,0.72,54.0,49.0,7.9,67.65,2571981.812,14853757254.0,97.79398524,15863.0,5775.218621,4.070465213,3.1485354410000004,1.0241246309999998,0.0015180270000000001,0.008955102,0.7672363123999999,0.37077962200000003,0.5630012436999999,0.7176626931,0.4014493318,0.17920760940000002,0.5876993408,0.0827914318,0.8604962815999999,48.856696899999996,2.3514616000000004,Europe
321,Montevideo,322,5,Hybrid Moderate,Uruguay,31.28177236577446,41.1376395271259,0.27195630378502955,20.458939689123596,1.74,16.6,0.0,0.0,0.0,0.0,0,6.0,0.019292605,1.3026819920000001,0.0,5.747126437,6.0,0.0,0.0,0.0,0.0,0.0,27.994067746695983,51.09631397564051,55.22959944426562,236.03,55.12,246.31,1305000,311,4200,59144,54201,156486,83406,95.3,1.2,14010.0,12.294047583172228,67.17,19.08,54.23,63.92,36.99,0.43,10.1,77.0,43.2,60.5,0.54,35.0,46.57518631472066,2.231639431,58.63,4320734.938999999,4413598002.0,128.1774879,19234.0,1021.492423,5.615611614,3.2123274630000003,1.021138135,0.000474641,0.0,0.0888911662,0.2219730719,0.32873541,0.4172862341,0.2222785355,0.023604472799999998,0.5331817422,0.21199281260000002,0.5016696372,-34.9059039,-56.1913569,South America
200,Krakow,201,5,Hybrid Moderate,Poland,27.0,46.0,1.0,25.0,1.41,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,4.473684211,230.0,30.26315789,10.0,38.0,57.0,70.0,100.57,31.64,82.57,760000,220,3500,20809,712,16318,30691,60.5,0.9,16843.0,10.9,39.58,15.96,30.8,32.66,76.46,0.33,17.76544856923365,77.5,68.61,65.0,0.59,38.0,41.0,8.0,67.78,2526308.7569999998,4715254848.0,164.6018216,8958.0,1866.460239,4.555022312,2.596446914,1.0709765740000001,0.001330869,0.012524013,0.0928085572,0.0818045563,0.5095064088,0.38823451770000006,0.4925328735,0.044496657800000006,0.5409400082,0.3127592591,0.3305748566,50.0619474,19.9368564,Europe
208,Yekaterinburg,209,2,BusTransit Sprawl,Russia,40.5628979319688,33.89708060369923,1.2272561949085776,14.872443617056403,0.73,18.9,12.7,0.024517375,0.6593406589999999,38.02197802,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,56.0,68.0,138.89,35.0,107.01,1365000,518,2600,-46300,44710,81031,39391,74.0,1.3,11279.6,4.731883986999955,34.52,11.23,27.91,36.49,48.54,0.44,9.365933229740058,70.5,48.8,61.4,0.5,35.0,45.0,12.46681628,76.19082852915763,1975651.3159999999,2480086285.0,230.80038739999998,4896.0,1255.325909,4.9941860469999995,2.772609819,1.05730641,0.001034795,0.0,0.19613523579999997,0.11430743060000001,0.4153555557,0.29630434079999995,0.379869478,0.039998063199999996,0.5036758302000001,0.6512549167,0.3577068902,56.839104000000006,60.60825,Europe
